Office,BusinessGroup,BusinessLine,Amount,Latitude,Longitude
"Omaha, NE #102",Heavy Equipment-OTR,Heavy Truck and Tractor,125.00,41.2918589,-96.0812485
"Indianapolis, IN #103",Heavy Equipment-OTR,Heavy Truck and Tractor,134.00,39.7689051,-86.1570664
"St. Cloud, MN #111",Heavy Equipment-OTR,Heavy Truck and Tractor,125.00,45.5599175,-94.1594019
"Columbus, GA #113",Heavy Equipment-OTR,Heavy Truck and Tractor,120.00,32.4643315,-84.9898915
"Dayton, OH (Corp) #051",Heavy Equipment-OTR,Heavy Truck and Tractor,125.00,39.7595646,-84.1962226
"Reading, PA #283",Heavy Equipment-OTR,Heavy Truck and Tractor,134.00,40.3373233,-75.9216393
"Portsmouth, OH (Corp) #038",Heavy Equipment-OTR,Heavy Truck and Tractor,120.00,38.7280446,-82.9802887
"San Antonio, TX #121",Heavy Equipment-OTR,Heavy Truck and Tractor,120.00,29.4249388,-98.4943932
"Cincinnati, OH #122",Heavy Equipment-OTR,Heavy Truck and Tractor,134.00,39.1040858,-84.5195135
"Dallas, TX (Corp) #473",Heavy Equipment-OTR,Heavy Truck and Tractor,120.00,32.7816196,-96.7934415
"Charleston, SC (Corp) #490",Heavy Equipment-OTR,Heavy Truck and Tractor,120.00,32.7766287,-79.9308624
"Beaumont, TX (Corp) #082",Heavy Equipment-OTR,Heavy Truck and Tractor,120.00,30.0818642,-94.0943660
"Fresno North, CA (Corp) #407",Heavy Equipment-OTR,Heavy Truck and Tractor,140.00,36.8108327,-119.7484113
"Louisville, KY (Corp) #488",Heavy Equipment-OTR,Heavy Truck and Tractor,120.00,38.2542052,-85.7604197
"South Bend, IN #255",Heavy Equipment-OTR,Heavy Truck and Tractor,134.00,41.6754102,-86.2530328
"Boston, MA (Corp) #477",Heavy Equipment-OTR,Heavy Truck and Tractor,130.00,42.3601998,-71.0579510
"Toledo, OH (Corp) # 481",Heavy Equipment-OTR,Heavy Truck and Tractor,135.00,41.6555454,-83.5346467
"Houston, TX (Corp) #027",Heavy Equipment-OTR,Heavy Truck and Tractor,120.00,29.7603571,-95.3693747
"Tupelo, MS #305",Heavy Equipment-OTR,Heavy Truck and Tractor,120.00,34.2566089,-88.7033742
"Salem, NH #310",Heavy Equipment-OTR,Heavy Truck and Tractor,134.00,42.7805714,-71.2092968
"Harlingen, TX #334",Heavy Equipment-OTR,Heavy Truck and Tractor,120.00,26.1891790,-97.6947930
"Albuquerque South, NM #342",Heavy Equipment-OTR,Heavy Truck and Tractor,120.00,35.1696155,-106.5801033
"Yuma, AZ #322",Heavy Equipment-OTR,Heavy Truck and Tractor,140.00,32.7216838,-114.6201600
"Salt Lake City, UT (Corp) #042",Heavy Equipment-OTR,Heavy Truck and Tractor,120.00,40.7594783,-111.8868474
"Augusta, GA #353",Heavy Equipment-OTR,Heavy Truck and Tractor,134.00,33.4711591,-81.9614078
"Martinsburg, WV (Corp) #047",Heavy Equipment-OTR,Heavy Truck and Tractor,120.00,39.4595460,-77.9632217
"North Atlanta, GA #374",Heavy Equipment-OTR,Heavy Truck and Tractor,120.00,33.8707400,-84.3340380
"Roanoke, VA (Corp) #434",Heavy Equipment-OTR,Heavy Truck and Tractor,134.00,37.2708029,-79.9461011
"Evansville, IN (Corp) #453",Heavy Equipment-OTR,Heavy Truck and Tractor,125.00,37.9736513,-87.5672831
"York, ME #418",Heavy Equipment-OTR,Heavy Truck and Tractor,134.00,43.1440818,-70.6514190
"Sioux Falls, SD #328",Heavy Equipment-OTR,Heavy Truck and Tractor,135.00,43.5475889,-96.7294032
"Jacksonville, FL (Corp) #491",Heavy Equipment-OTR,Heavy Truck and Tractor,120.00,30.3300681,-81.6612345
"Fort Myers, FL #433",Heavy Equipment-OTR,Heavy Truck and Tractor,120.00,26.6414928,-81.8678411
"Winston-Salem, NC (Corp) #432",Heavy Equipment-OTR,Heavy Truck and Tractor,134.00,36.0952632,-80.2430415
"Eau Claire-La Crosse, WI #278",Heavy Equipment-OTR,Heavy Truck and Tractor,120.00,44.8079687,-91.5035985
